user_id;first_purchase_date;total_revenue;campaign_id;forecasted_revenue_12m
713747;2024-05-17;0.0;120207857225970265;0.0
713574;2024-05-17;9.99;1120861360;93.185999722466249
709138;2024-05-10;29.97;1489471033;112.46541762292294
711172;2024-05-13;29.97;475850036;112.46541762292301
718950;2024-05-24;9.99;1507114385;71.260549740399142
704016;2024-05-03;39.96;475850036;119.9744718831797
712507;2024-05-16;0.0;120208595621130306;0.0
707436;2024-05-07;0.0;120208923678500306;0.0
707320;2024-05-07;0.0;1287973773;0.0
707274;2024-05-07;19.98;475850036;0.0
709909;2024-05-11;0.0;120206984314660306;0.0
723304;2024-05-29;9.99;120210471213210306;58.265375458029965
715141;2024-05-19;9.99;1432281389;0.0
714765;2024-05-19;0.0;120208923678500306;0.0
724577;2024-05-30;0.0;120208634329680306;0.0
708838;2024-05-09;0.0;1432281389;0.0
708610;2024-05-09;39.99;120208595621130306;0.0
702551;2024-05-01;0.0;120208595621130306;0.0
706667;2024-05-06;0.0;475850036;0.0
706427;2024-05-06;0.0;120209335926490306;0.0
705280;2024-05-04;0.0;120207857225970265;0.0
725726;2024-05-31;0.0;120207857225970265;36.215125065972167
726181;2024-05-31;0.0;120207857225970265;20.774080664674443
708031;2024-05-08;39.96;1287973773;121.79123732476464
721705;2024-05-27;0.0;120207857225970265;0.0
718140;2024-05-23;0.0;1287973773;0.0
722186;2024-05-28;0.0;120207857225970265;0.0
721971;2024-05-28;0.0;1287973773;0.0
722182;2024-05-28;0.0;1287973773;0.0
717167;2024-05-22;0.0;1432281389;0.0
716434;2024-05-21;7.99;120207857225970265;0.0
716129;2024-05-21;0.0;475850036;0.0
713497;2024-05-17;0.0;120208595621130306;0.0
713341;2024-05-17;0.0;1120861360;0.0
709079;2024-05-10;19.98;1432281389;99.465691427889666
711202;2024-05-13;0.0;120208923677100306;0.0
712186;2024-05-15;0.0;120206984314660306;0.0
712044;2024-05-15;39.99;1432281389;31.342318890284115
711986;2024-05-15;9.99;475850036;0.0
703859;2024-05-03;19.98;475850036;0.0
712674;2024-05-16;39.99;475850036;0.0
720741;2024-05-26;9.99;1361709726;93.185999722466164
644245;2024-05-11;29.97;475850036;121.79123732476462
723535;2024-05-29;9.99;120208923678500306;59.882822787450479
710763;2024-05-12;0.0;1361709726;34.642993224746569
710763;2024-05-12;39.99;1361709726;34.642993224746569
724518;2024-05-30;0.0;120206984314660306;40.185214992295322
701950;2024-05-01;0.0;1543024477;0.0
702137;2024-05-01;9.99;1489471033;0.0
706482;2024-05-06;0.0;120207857225970265;0.0
725499;2024-05-31;0.0;120207857225970265;22.480197027582275
719444;2024-05-25;0.0;475850036;0.0
719872;2024-05-25;9.99;120206984314660306;64.6866078888394
707927;2024-05-08;39.96;120208634329680306;119.50328727885977
721383;2024-05-27;0.0;1287973773;0.0
721376;2024-05-27;0.0;1361709726;0.0
721310;2024-05-27;0.0;120207857225970265;0.0
718129;2024-05-23;0.0;1498041324;0.0
722598;2024-05-28;0.0;475850036;0.0
722863;2024-05-28;0.0;120210471213210306;0.0
717277;2024-05-22;7.99;120207857225970265;0.0
713664;2024-05-17;19.98;475850036;99.465691427889681
710888;2024-05-13;0.0;1361709726;0.0
715942;2024-05-20;0.0;120208925933380306;0.0
719135;2024-05-24;0.0;120207857225970265;0.0
718520;2024-05-24;9.99;475850036;74.609611507779178
712098;2024-05-15;39.99;475850036;31.342318890284108
712239;2024-05-15;29.97;1433428103;112.46541762292306
703584;2024-05-03;0.0;1498041324;0.0
703809;2024-05-03;0.0;1507114385;0.0
712664;2024-05-16;0.0;120208925933380306;0.0
720387;2024-05-26;0.0;1361709726;0.0
720572;2024-05-26;9.99;1361709726;74.2876057375883
709836;2024-05-11;0.0;1432281389;0.0
723577;2024-05-29;0.0;1432281389;33.7391335268709
723501;2024-05-29;9.99;475850036;74.538919562095472
715172;2024-05-19;19.98;120208634329680306;78.463649347370051
